date	run_id	series	mode	seed	trials	detected	mutation_policy	fixture_name	fixture_size	fixture_sha256	raw_tsv_relpath	raw_tsv_sha256	signed_binary_sha256	source_commit	target	host	provenance
2026-04-25	legacy-2026-04-25-pe-fae4ad8c8e9b	pe/sample.exe/1024	sniper	42	100	3	single-bit-v1	sample.exe	1024	unknown	docs/corruption-sweep-results/pe_sniper.tsv	fae4ad8c8e9bdc681fe4c19cc8304b181ba5145ff5e70cfa99ab283911d1ed4e	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-pem-c0dbce71a3b5	pem/sample.pem/989	sniper	42	100	51	single-bit-v1	sample.pem	989	unknown	docs/corruption-sweep-results/pem_sniper.tsv	c0dbce71a3b56da89759a87d1c94fcedf5314d510da9195fff0a5dbfe1c2bf4e	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-pgp_signed-dd9354f602ad	pgp_signed/sample.asc/370	sniper	42	100	81	single-bit-v1	sample.asc	370	unknown	docs/corruption-sweep-results/pgp_signed_sniper.tsv	dd9354f602ad2868ae9c7aaefbaae44eaa49700f1041b79c54d47d1e242806df	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-plist-c99bb302a1f4	plist/sample.plist/830	sniper	42	100	52	single-bit-v1	sample.plist	830	unknown	docs/corruption-sweep-results/plist_sniper.tsv	c99bb302a1f444a5641ec9628cc05724cbb648c210b52ad7b9bc0bff0b9a2c65	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-ply-a0ad120276b3	ply/sample.ply/447	sniper	42	100	51	single-bit-v1	sample.ply	447	unknown	docs/corruption-sweep-results/ply_sniper.tsv	a0ad120276b3e1c8bae1c86314e6be4a8fe3f687e48b564ab9db5493299bf872	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-prproj-5808913fdf54	prproj/sample.prproj/112	sniper	42	100	55	single-bit-v1	sample.prproj	112	unknown	docs/corruption-sweep-results/prproj_sniper.tsv	5808913fdf54fcd0448502445025bd77c13c0ebbbe0c9559dd86fe4f999e0170	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-ptx-e8d7b70e69c4	ptx/sample.ptx/40720	bolter	42	100	0	contiguous-byte-span-v1	sample.ptx	40720	unknown	docs/corruption-sweep-results/ptx_bolter.tsv	e8d7b70e69c409758bf755f5661722fa2f563395913a7f4d24009eaca98128cd	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-ptx-2fa5373508c8	ptx/sample.ptx/40720	shotgun	42	100	0	random-4096-byte-overwrite-v1	sample.ptx	40720	unknown	docs/corruption-sweep-results/ptx_shotgun.tsv	2fa5373508c87eb01fc01dfa95c0a446249e20d68348f8fb779a4a3833d7b340	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-ptx-4bdfbb479a8a	ptx/sample.ptx/40720	sniper	42	100	0	single-bit-v1	sample.ptx	40720	unknown	docs/corruption-sweep-results/ptx_sniper.tsv	4bdfbb479a8a4b78a04e10e4082b661acdc1444be11d893e05959630ed6fe174	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-qbb-2854667812f5	qbb/sample.qbb/19456	bolter	42	100	7	contiguous-byte-span-v1	sample.qbb	19456	unknown	docs/corruption-sweep-results/qbb_bolter.tsv	2854667812f581cbc28f0afa53efab242a50b4610a3b11cf724bb37321c18c2e	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-qbb-65a90b47fd32	qbb/sample.qbb/19456	shotgun	42	100	24	random-4096-byte-overwrite-v1	sample.qbb	19456	unknown	docs/corruption-sweep-results/qbb_shotgun.tsv	65a90b47fd3223d4b8d9e660bd05b4e770c18a7efb0b2b3ef52ab537e0e8fff6	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-qbb-fea12c0305f8	qbb/sample.qbb/19456	sniper	42	100	8	single-bit-v1	sample.qbb	19456	unknown	docs/corruption-sweep-results/qbb_sniper.tsv	fea12c0305f8e0a45065cdd733964e46b14071e446bf0956f973ee3ab9412951	unknown	unknown	unknown	unknown	historical-raw-incomplete
