timestamp_utc	run_id	series	mode	seed	trials	detected	mutation_policy	fixture_id	fixture_sha256	raw_tsv_relpath	raw_tsv_sha256	signed_binary_id	signed_binary_sha256	source_commit	target	host
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	7z/320f69ed18aba120	sniper	42	100	99	single-bit-v1	7z/320f69ed18aba120	320f69ed18aba12025b9d85117e0a8332c75eef8b62d9df4c349e851a2628b18	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/7z_sniper.tsv	4bbefac241ef381b7bed9213976ec75460b9e6db7a890e2639bc8ca2bcc096bb	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	7z/320f69ed18aba120	bolter	42	100	100	contiguous-byte-span-v1	7z/320f69ed18aba120	320f69ed18aba12025b9d85117e0a8332c75eef8b62d9df4c349e851a2628b18	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/7z_bolter.tsv	9e520976ef034a73949cda3c248d607b16ccc3cc424ae320817cea38c7327583	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	7z/320f69ed18aba120	shotgun	42	100	100	random-4096-byte-overwrite-v1	7z/320f69ed18aba120	320f69ed18aba12025b9d85117e0a8332c75eef8b62d9df4c349e851a2628b18	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/7z_shotgun.tsv	d2b8f58e449a4f627d5ebce78edeaac065934fcc702ef1a75a81b7a6796f8d44	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	aac/e15b46269419e19d	sniper	42	100	3	single-bit-v1	aac/e15b46269419e19d	e15b46269419e19d6333de283775309db8fd33fe3eb3c455913ef9b4d8a760fb	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/aac_sniper.tsv	d460f763778818750e360d3fd70b2d4f9f914386ab473de78be1cb8391462c7c	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	aac/e15b46269419e19d	bolter	42	100	3	contiguous-byte-span-v1	aac/e15b46269419e19d	e15b46269419e19d6333de283775309db8fd33fe3eb3c455913ef9b4d8a760fb	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/aac_bolter.tsv	6c1dd350fa32cb63307d2b8c599d5cd9aea631ab882bc7e16708463afb855a5e	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	aac/e15b46269419e19d	shotgun	42	100	31	random-4096-byte-overwrite-v1	aac/e15b46269419e19d	e15b46269419e19d6333de283775309db8fd33fe3eb3c455913ef9b4d8a760fb	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/aac_shotgun.tsv	197d96c3c993cd65bcb04ecdd188bf73113a23e0daeee2dec8b09f9ecb08039f	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	aac_adts/48a5ed6d602196c5	sniper	42	100	6	single-bit-v1	aac_adts/48a5ed6d602196c5	48a5ed6d602196c5075c4259a16fd7dd7bbb7b5623eeed6a0298c678e1f0247f	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/aac_adts_sniper.tsv	b37c9ab862f2a221edc5cd315910ab8f69d469bd425d9b331b66bc91b7eaad35	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	aac_adts/48a5ed6d602196c5	bolter	42	100	10	contiguous-byte-span-v1	aac_adts/48a5ed6d602196c5	48a5ed6d602196c5075c4259a16fd7dd7bbb7b5623eeed6a0298c678e1f0247f	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/aac_adts_bolter.tsv	54d6ba1aadda3c25ff216ffd67c0894b90026fe2d789b030fa3b9f9bf87989fd	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	aac_adts/48a5ed6d602196c5	shotgun	42	100	20	random-4096-byte-overwrite-v1	aac_adts/48a5ed6d602196c5	48a5ed6d602196c5075c4259a16fd7dd7bbb7b5623eeed6a0298c678e1f0247f	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/aac_adts_shotgun.tsv	5d5d6990be5f32f00e10eef2015783b1fcd0350133a8872c43cf79dddc516355	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
2026-07-22T18:39:36Z	20260722T183936Z-9f405ea72f21-b0of1	ac3/91cf23589c8b7f3b	sniper	42	100	100	single-bit-v1	ac3/91cf23589c8b7f3b	91cf23589c8b7f3beb0a9823755baf90b0b363e2b6e13c8fa00cf710122e8638	docs/coverage-evidence/runs/20260722T183936Z-9f405ea72f21-b0of1/ac3_sniper.tsv	1604ca031b8fcb640f4d7ccf31c06b11d50e9ef6d9f96c9a2aeb1fa27ccae245	validate-x86_64-linux-releasefast	f2058f1ba5d8721d929c0366a6dea68ba256fd7392e8dec3268506ecfa619dc1	9f405ea72f21eceedd94dfce8ffb05b57993752c	x86_64-linux	thelio-nixos
